2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=0.0, netSales=0.0, ordersCount=0]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | itemIndex : 8
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=697.58, netSales=105.98999, ordersCount=1]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | orderDateString : 2021-08
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=0.0, netSales=0.0, ordersCount=0]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | itemIndex : 8
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=1275.62, netSales=205.98999, ordersCount=2]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | orderDateString : 2021-08
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=0.0, netSales=0.0, ordersCount=0]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | itemIndex : 8
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=1891.52, netSales=293.99, ordersCount=3]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | orderDateString : 2021-08
