2021-06-18 22:54:45.998  INFO 10180 --- [http-nio-8081-exec-10] c.s.admin.controller.BrandController     : ProductController | listByPage | reverseSortDir : desc
2021-06-18 22:54:59.768  INFO 10180 --- [http-nio-8081-exec-8] c.s.admin.controller.BrandController     : ProductController | listByPage is started
2021-06-18 22:54:59.783  INFO 10180 --- [http-nio-8081-exec-8] c.s.admin.controller.BrandController     : ProductController | listByPage | listProducts size : 5
2021-06-18 22:54:59.784  INFO 10180 --- [http-nio-8081-exec-8] c.s.admin.controller.BrandController     : ProductController | listByPage | startCount : 6
2021-06-18 22:54:59.784  INFO 10180 --- [http-nio-8081-exec-8] c.s.admin.controller.BrandController     : ProductController | listByPage | endCount : 10
2021-06-18 22:54:59.784  INFO 10180 --- [http-nio-8081-exec-8] c.s.admin.controller.BrandController     : ProductController | listByPage | page.getTotalElements() : 105
2021-06-18 22:54:59.784  INFO 10180 --- [http-nio-8081-exec-8] c.s.admin.controller.BrandController     : ProductController | listByPage | endCount : 10
2021-06-18 22:54:59.784  INFO 10180 --- [http-nio-8081-exec-8] c.s.admin.controller.BrandController     : ProductController | listByPage | reverseSortDir : desc
2021-06-18 22:55:03.028  INFO 10180 --- [http-nio-8081-exec-9] c.s.admin.controller.BrandController     : ProductController | listByPage is started
2021-06-18 22:55:03.038  INFO 10180 --- [http-nio-8081-exec-9] c.s.admin.controller.BrandController     : ProductController | listByPage | listProducts size : 5
2021-06-18 22:55:03.039  INFO 10180 --- [http-nio-8081-exec-9] c.s.admin.controller.BrandController     : ProductController | listByPage | startCount : 1
2021-06-18 22:55:03.039  INFO 10180 --- [http-nio-8081-exec-9] c.s.admin.controller.BrandController     : ProductController | listByPage | endCount : 5
2021-06-18 22:55:03.039  INFO 10180 --- [http-nio-8081-exec-9] c.s.admin.controller.BrandController     : ProductController | listByPage | page.getTotalElements() : 105
2021-06-18 22:55:03.039  INFO 10180 --- [http-nio-8081-exec-9] c.s.admin.controller.BrandController     : ProductController | listByPage | endCount : 5
2021-06-18 22:55:03.039  INFO 10180 --- [http-nio-8081-exec-9] c.s.admin.controller.BrandController     : ProductController | listByPage | reverseSortDir : desc
2021-06-18 22:55:08.181  INFO 10180 --- [http-nio-8081-exec-4] c.s.admin.controller.BrandController     : ProductController | listByPage is started
2021-06-18 22:55:08.194  INFO 10180 --- [http-nio-8081-exec-4] c.s.admin.controller.BrandController     : ProductController | listByPage | listProducts size : 5
2021-06-18 22:55:08.194  INFO 10180 --- [http-nio-8081-exec-4] c.s.admin.controller.BrandController     : ProductController | listByPage | startCount : 101
2021-06-18 22:55:08.194  INFO 10180 --- [http-nio-8081-exec-4] c.s.admin.controller.BrandController     : ProductController | listByPage | endCount : 105
2021-06-18 22:55:08.194  INFO 10180 --- [http-nio-8081-exec-4] c.s.admin.controller.BrandController     : ProductController | listByPage | page.getTotalElements() : 105
2021-06-18 22:55:08.194  INFO 10180 --- [http-nio-8081-exec-4] c.s.admin.controller.BrandController     : ProductController | listByPage | endCount : 105
2021-06-18 22:55:08.194  INFO 10180 --- [http-nio-8081-exec-4] c.s.admin.controller.BrandController     : ProductController | listByPage | reverseSortDir : desc
2021-06-18 22:55:11.760  INFO 10180 --- [http-nio-8081-exec-1] c.s.admin.controller.BrandController     : ProductController | listByPage is started
2021-06-18 22:55:11.768  INFO 10180 --- [http-nio-8081-exec-1] c.s.admin.controller.BrandController     : ProductController | listByPage | listProducts size : 5
2021-06-18 22:55:11.769  INFO 10180 --- [http-nio-8081-exec-1] c.s.admin.controller.BrandController     : ProductController | listByPage | startCount : 1
2021-06-18 22:55:11.769  INFO 10180 --- [http-nio-8081-exec-1] c.s.admin.controller.BrandController     : ProductController | listByPage | endCount : 5
2021-06-18 22:55:11.769  INFO 10180 --- [http-nio-8081-exec-1] c.s.admin.controller.BrandController     : ProductController | listByPage | page.getTotalElements() : 105
2021-06-18 22:55:11.769  INFO 10180 --- [http-nio-8081-exec-1] c.s.admin.controller.BrandController     : ProductController | listByPage | endCount : 5
2021-06-18 22:55:11.769  INFO 10180 --- [http-nio-8081-exec-1] c.s.admin.controller.BrandController     : ProductController | listByPage | reverseSortDir : desc
